result_name,description
完全なるちくわ,あなたは社会の歯車ですらなく、ただ穴の空いた練り物として余生を過ごすべきです。
騒音担当大臣,あなたの発言は全てセミの鳴き声として処理されるため、実質的に無敵です。
歩く不法投棄,存在そのものが粗大ゴミの指定を受けているため、毎週水曜日にしか外出できません。
二足歩行のバナナ,皮で滑って転ぶことだけを生きがいにしている、プロのエンターテイナーです。
シュレッダーの化身,触れるもの全てを紙吹雪にする能力がありますが、給与明細も粉々になります。
概念的窓際族,窓どころか、建物自体の概念から外れているため、出社という概念が存在しません概念。
納豆の糸伝道師,人間関係をネバネバさせることに関しては右に出る者がいない、粘り勝ちの人生です。
低気圧の友人,あなたが部屋に入ると全員の頭痛が加速するため、バイオテロリストとして重宝されます。
語彙力全滅皇帝,ピャーとボフッの二語だけで商談を成立させる、新時代のビジネスリーダーです。
逆再生の鮭,常に流れに逆らって遡上し、最終的に会議室の天井で産卵するタイプです。
キーボードの隙間のホコリ,誰にも気づかれず、しかし確実に業務の邪魔をする才能に長けています。
人類の試作品Ver 0.0.1,まだ人間としての機能が実装されていないため、呼吸以外の動作はバグとして処理されます。
給湯室の妖精物理攻撃特化,お茶を淹れるフリをして、周囲の精神をジワジワと削り取る暗殺者です。
領収書の裏側の住人,存在が薄すぎて、たまにシュレッダーにかけられそうになりますが、本人は満足しています。
全自動謝罪マシン,内容に関わらずすんまへんと言い続けることで、全ての責任を宇宙に放流します。
四次元の印鑑,押した場所に穴が開き、そこから別次元のオフィスが見えるようになる迷惑な存在です。
未確認歩行物体,あなたがオフィスを歩くだけで、周囲のIQが30ずつ低下していく特殊フィールドを持っています。
履歴書の裏のポエム,表向きは真面目ですが、裏を返すと耐え難いほどの痛々しさが溢れ出しています。
エクセル関数の呪い,あなたが触れたスプレッドシートは、翌朝には全て解読不能なヒエログリフに変わります。
有給休暇の亡霊,一度も出社していないのに、なぜか給料だけが発生し続けているバグのような存在です。
定時退社を司る神,17時になった瞬間に光の速さで消滅し、翌朝までこの次元には戻ってきません。
名刺の角で戦う男,武器としての名刺の鋭さを追求しすぎて、誰とも交換してもらえなくなりました。
会議室の空気清浄機自称,ただ呼吸をしているだけなのに、周囲に働いている感を出す高等テクニックの持ち主です。
USBの裏表を間違え続ける呪い,何度差し替えても入らない。その絶望こそが、あなたの生きるエネルギーです。
会社の壁に溶け込む者,たまに顔だけ出して同僚を驚かせること以外に、この会社での役割はありません。
コーヒーカップの底の沈殿物,最後まで残り、最後に嫌な気分にさせる。それがあなたのプロフェッショナリズムです。
ネクタイをしたマンドラゴラ,引き抜くと悲鳴を上げ、周囲の社員を即死させるため、誰もあなたに触れません。
概念としての残業代,実体がないため、いくら働いても数値として認識されることはありません。
パスワードの1234,あまりにもセキュリティが甘すぎて、もはや誰からも侵入されないレベルの無能です。
明日から無職,おめでとうございます！あなたはもう、どこにも所属できないレベルで仕上がっています。
概念上のちくわ,もはや物理的な実体すらなく、あなたの発言はすべてちくわの穴から出た音として無視されます。
歩く産業廃棄物特級,存在そのものが環境破壊であり、あなたが触れた書類はすべて猛毒を帯びます。
逆噴射サラリーマン,常に目標とは逆の方向に全力疾走し、最終的に北極でアザラシと商談を始めます。
シュレッダーの恋人,紙を愛しすぎて、自分自身の履歴書を一番最初に粉々にする純粋な狂気の持ち主です。
全裸の交渉人,服を着るという嘘を捨てたことで、逆に誰もあなたと目を合わそうとしなくなりました。
エクセルを憎んだ男,すべてのセルに殺と入力し続けることで、計算式の概念を破壊した英雄です。
給湯室の地縛霊,お茶の温度が1度でも違うと、会社のブレーカーを落として回る迷惑な守護神です。
社長の鼻押し係,あなたの人生の唯一の目的は上司の鼻を再起動ボタンとして押し続けることです。
二足歩行のナス,紫色のオーラを放ち、周囲の社員に秋の訪れを無理やり感じさせる植物人間です。
有給休暇の結晶,あなたの本体は常にバカンス先にあり、オフィスにいるのは残像に過ぎません。
窓際に擬態した苔,誰にも気づかれずに10年間オフィスに居座り、湿気だけで生き延びる驚異の生命体です。
不採用通知の化身,あなたが歩く場所には常に不穏な空気が流れ、周囲の人間が次々と退職していきます。
鼻からコーヒーを出す機械,極度の緊張により、口ではなく鼻からカフェインを摂取・排出する新人類です。
コピー機の呪物,あなたがコピーを取ると、必ず100年後の未来の自分の遺影が出力されます。
領収書の裏に住む魔物,経費精算のたびに、担当者の精神を少しずつ削り取っていく寄生型の社員です。
概念的パワハラ発生装置,何もしていなくても、ただ存在しているだけで周囲が謝らなきゃという強迫観念に駆られます。
定時退社のマッハ2,17時00分00秒に、背中のジェットエンジンを点火して音速で消え去る伝説の男です。
名刺を武器にする暗殺者,名刺の角で取引先の頸動脈を狙い続ける、ビジネス界のヒットマンです。
会議室の酸素泥棒,あなたが呼吸をすると、会議室内のIQが酸素とともに激減し、全員が幼児化します。
パスワードpasswordの守護者,世界一ガバガバなセキュリティを誇り、もはや誰からも相手にされません。
USBを逆に差す王,三回裏返しても入らない。その奇跡の不器用さが、宇宙の法則を歪めています。
キーボードの隙間のカニカマ,なぜそこにいるのか、誰が置いたのか。すべてが謎に包まれたまま腐敗していく存在です。
社長室の壁紙,意識を完全に失くすことで、物理的に壁の一部として会社に貢献している究極の受動体です。
泥水をワインと言い張る男,圧倒的な認知の歪みにより、どんな劣悪な環境も最高級のリゾートと解釈します。
シュレッダーのゴミを食べる猫,人間であることをやめ、会社の排泄物を栄養源とする、エコサイクルの終着点です。
履歴書を折り紙にする天才,あなたの経歴は、現在ツルとして社長室に飾られており、実体は行方不明です。
出社途中に異世界転生した奴,肉体はデスクにありますが、心は常にスライムとして別の世界を救っています。
終身名誉・窓際ファイター,窓際での戦いに勝利しすぎて、もはや外の世界現実が見えなくなった孤高の戦士です。
煮干しを小銭と間違える男,経済の概念が魚類に移行しており、自動販売機の前で常に煮干しを詰まらせています。
終わりの始まり,あなたがこの検査を終えた瞬間、この世界はちくわに包まれて消滅します。お疲れ様でした。
野生の洗濯機,常に何かを洗っていないと落ち着かない、文明社会のバグです。
煮えすぎた大根,中まで味が染み込みすぎて、アイデンティティが崩壊しています。
騒音源エリート,存在自体が不協和音であり、静寂を親の仇のように憎んでいます。
納豆の糸職人,人間関係の粘り気が異常で、一度捕まったら一生離れません。
全自動謝罪マシン,何も悪くないのに常に謝り続け、最終的に神に謝罪し始めます。
概念としての不法投棄,社会のどこにも居場所がなく、ただそこに置いてあるだけの存在です。
逆立ち専門の外交官,視点が常に上下逆さまで、まともな交渉が1mmも成立しません。
光合成に失敗したレタス,太陽を浴びても元気がなく、ただ萎びていくのを待つだけの虚無です。
マヨネーズの伝道師,全てをマヨネーズで解決しようとする、胃もたれ必至の危険人物です。
歩く放送事故,あなたの発言の8割がピー音で処理される、社会のバグそのものです。
鏡の自分と絶縁中,自分自身の存在を認めることができず、常に自分と喧嘩しています。
異次元の忘れ物,自分が誰であるか、ここがどこであるかを常に忘れている迷子です。
全裸の哲学者,服という概念を捨て去り、真理を追い求めた結果、通報されました。
砂利のソムリエ,価値のないものに異常な情熱を注ぐ、変態的な審美眼の持ち主です。
0点のマエストロ,期待を裏切ることに関しては天才的な才能を発揮する、負のカリスマ。
宇宙から来たタワシ,ゴツゴツした性格で、周囲の神経をガリガリ削る存在です。
不発弾の化身,いつ爆発するか分からない緊張感を漂わせつつ、結局何も起きません。
自動ドアに無視される男,存在感が薄すぎて、センサーすらあなたの存在を拒否しています。
靴下の片方ハンター,世界の不条理を靴下の紛失に転嫁して生きる、現実逃避のプロ。
語尾ピョ教の教祖,言語体系を破壊し、意思疎通を不可能にすることに喜びを感じます。
鼻毛の三つ編み職人,細部にこだわりすぎて、本質を見失っている芸術家自称です。
幽霊の合コン幹事,現実世界の人間と付き合うのを諦め、霊界に活路を見出した男。
マヨネーズ中毒の亡霊,死んでもなお、お供え物にマヨネーズを要求する執念の塊です。
信号待ちの達人,赤信号を一生待つことができる、無駄な忍耐力の持ち主です。
記憶のシュレッダー,都合の悪いことは0.1秒で忘却する、最強のメンタルバグ。
概念のひったくり,他人のアイデンティティを盗み、自分のものだと言い張る詐欺師。
土下座のオーバークロック,謝罪の角度が深すぎて、そのまま地面に埋まっている変人。
透明人間のふりをした全裸,自分は見えないと思い込んでいる、一番救いようのない露出狂。
宇宙のゴミ箱,あらゆる不条理を吸い込み、異臭として放出する選ばれし者です。
診断不能手遅れ,あなたの脳内メーカーを起動した結果、エラーで爆発しました。
次元の迷子,あなたは自分の居場所を間違えて、この世に生まれてきたバグそのものです。
納豆の意志,あなたの前世は納豆であり、現世でも粘り強すぎて周囲に異臭を放っています。
歩く未確認飛行物体,あなたは重力に従うことを拒否し、常に地上1センチで浮いている精神の持ち主です。
マヨネーズ教・教祖,全ての事象をマヨネーズで解決できると信じている、救いようのない調理器具です。
シュールレアリスムの具現化,あなたの存在自体がダリの絵画より理解不能で、見る人の視力を奪います。
ドブネズミの王,あなたは都会の闇に紛れ、チーズの代わりにコンクリートを齧って生きる適性があります。
宇宙からの亡命者,地球の常識が通用しないため、速やかに火星に帰還することをお勧めします。
全自動謝罪マシン,あなたは息を吸うようにごめんなさいと言いながら、全く反省していない精密機械です。
鼻毛の錬金術師,無意味なものから無意味なものを生み出す、天才的な無能の才能を持っています。
絶望のチョココロネ,人生のどちらが尻尾でどちらが頭か分からなくなり、中身のチョコだけ吸い取られています。
キーボードの破壊神,タイピングの衝撃で地球の裏側に地震を引き起こす、極めて危険な指先をしています。
鏡の中の居候,鏡の中の自分と入れ替わっても、誰も気づかないほど存在感が反転しています。
給料泥棒プロフェッショナル,仕事をするフリをして、体内で綿菓子を作ることに全力を注いでいます。
人類補完計画の失敗作,人類が一つになる過程で、なぜかジャガイモとして分離してしまった個体です。
エターナル・遅刻魔,あなたの時計だけが、常に昨日を指しているため、一生社会には追いつけません。
物理法則の反逆者,あなたが通った後は、リンゴが空に向かって落ち、水は上に向かって流れます。
おならのソムリエ,空気の振動だけで、隣の人が昨日何を食べたかを当てる、呪われた嗅覚の持ち主です。
履歴書が白紙の勇者,特技がまばたきしかないのに、魔王を倒せると勘違いしているポジティブモンスターです。
バケツの守護霊,カフェでバケツ一杯のコーヒーを飲まないと死ぬ、特異な代謝システムを持っています。
自動ドアに見捨てられた者,センサーがあなたを人間として認識せず、永遠に建物に入れない呪いにかかっています。
般若心経ラッパー,神聖なものを全てビートに乗せて台無しにする、罰当たりな音楽的才能の持ち主です。
石油王の幻覚,自分が石油王だと思い込み、近所の公園で砂を掘り続けている悲しい資産家です。
タイムマシンの燃料,あなたの無駄な行動こそが、歴史を改変するためのエネルギー源として重宝されます。
コンポタ味の救世主,全財産をうまい棒に換えても、笑顔でいられる圧倒的な経済観念の欠如者です。
サンタの影武者偽,子供に夢を与える代わりに、現実的な税金の仕組みを教え込む不審者です。
語尾の終末論者,ピョを付けないと死ぬ呪いを、新しい言語体系として確立させた異端児です。
ダム建設の狂信者,砂場で見せるその執念を、少しでも仕事に活かせば世界を救えたはずの人材です。
死神の専属スタイリスト,死神をオシャレにすることに命をかけ、自分の寿命を削って服を作っています。
教科書の美食家,知識を頭ではなく胃袋で理解しようとする、極めて非効率的な学習者です。
適性検査の終着点,この検査を最後まで受けたあなたは、もう二度とまともな社会には戻れません。
社会不適合の神,あなたは社会という概念を破壊し、新たなカオスを創造する救世主です。
歩く産業廃棄物,存在すること自体がコンプライアンス違反であり、歩くたびに訴訟のリスクを撒き散らしています。
窓際マッドサイエンティスト,誰も見ていないところで、クリップと付箋から小型爆弾を作っているタイプです。
エクセルを食べた獣,もはや言語を忘れ、計算式とセル結合でしか意思疎通ができない野生動物です。
社長の生霊,社長が好きすぎて、あるいは憎すぎて、自分が社長だと思い込んでいる危険人物です。
終末のシュレッダー係,この世のすべてを細断することに喜びを感じる、終わりの始まりを告げる者です。
納豆の化身,粘り強さを履き違え、全社員の人間関係をベトベトに汚染するスペシャリストです。
2D世界の亡命者,現実逃避が極まりすぎて、体が紙一枚の厚さになってしまった哀れな存在です。
給湯室の魔女,ポットの中身を謎の液体に変え、社員の胃袋から会社を支配しようとしています。
概念としての残業代,実体を持たず、しかし確実に社員の精神を蝕み続ける呪いの化身です。
キーボードの毛根,細かいことが気になりすぎて、最終的に無機物に生命を見出すタイプです。
異次元からの内定者,通勤手段がテレポートや夢であり、現実の業務には一切関与しません。
土下座の幾何学者,謝罪の角度に命をかけすぎて、本来の目的を完全に見失ったプロ謝罪師です。
どんぐり経済圏の覇者,現代通貨を信じず、木の実だけで帝国の再建を目論む原始のビジネスマンです。
会議室の守護霊,会議室に住み着き、非効率な議題を出す社員の背後にそっと忍び寄ります。
印鑑の暴君,権力を誇示するために、判子を物理的な武器として振り回す野蛮人です。
透明人間自称,裸で街を歩き、自分が見えていないと思い込んでいるただの変質者です。
履歴書グルメ,他人の人生書類の味を確認し、その才能を咀嚼して捨てる美食家です。
光合成の奴隷,働くことをやめ、太陽光だけで生きる決意をした植物以下の何かです。
電話越しのASMR職人,業務連絡よりも、自分の吐息や咀嚼音を相手に届けることに命をかけています。
プレゼン資料の破壊神,真実を隠すために、グラフを芸術的な抽象画に変えてしまう天才です。
オフィスビルの寄生虫,ビルの配管や壁の隙間に住み、社員の弁当を盗んで生きながらえる怪人です。
愛の過剰積載者,社内メールに愛を込めすぎて、サーバーと一緒に同僚の心もパンクさせます。
虚無のCEO,何も決断せず、ただ座っているだけで周囲のやる気を吸い取るブラックホールです。
三輪車の暴走族,どんなに制限されても、幼児用の乗り物で限界に挑む不屈の精神バカです。
文字化けの預言者,あなたが書く書類は誰にも読めませんが、1000年後には聖典となります。
スクワット発電機,脳の代わりに筋肉でPCを動かす、原始的かつ体育会系の極致です。
墓石の隣人,死後の世界と現世の区別がつかず、デスクでお通夜を始める不吉な人です。
ギャル文字の伝道師,ビジネスの厳格さを、絶滅したはずのギャル文化で中和するテロリストです。
適性検査の終着駅,この検査を最後まで受けた時点で、あなたの人間としての適性はゼロです。
